Date,Platform,Post_ID,Post Type,Likes,Comments,Shares,Impressions,Followers,Audience Age,Audience Gender,Audience Location,Sentiment,Reach,Engagement Rate
6/24/2023,Twitter,Post_21,Carousel,82,226,230,18356,46608,29,Other,United Kingdom,Negative,1842,31.32
8/27/2023,Instagram,Post_33,Video,759,105,124,25779,139448,48,Male,Greece,Neutral,3884,28.78
4/11/2023,Instagram,Post_74,Video,872,53,481,75072,193951,55,Male,United States Virgin Islands,Neutral,849,104.71
5/13/2023,Instagram,Post_56,Image,884,99,366,37714,168918,54,Other,Zambia,Neutral,3519,24.13
10/13/2023,Facebook,Post_58,Carousel,572,247,258,31439,13152,33,Other,Afghanistan,Neutral,2032,44.69
6/30/2023,Twitter,Post_55,Video,271,273,280,23572,7103,59,Female,Djibouti,Neutral,2667,39.67
2/28/2023,Instagram,Post_63,Image,395,9,392,83056,51652,41,Other,Jamaica,Neutral,1553,77.53
5/24/2023,Twitter,Post_60,Text,530,152,434,73620,45493,63,Other,Gibraltar,Neutral,1498,56.88
3/8/2023,Instagram,Post_9,Video,4,280,23,61426,160214,23,Male,Estonia,Neutral,3695,39.84
6/20/2023,Twitter,Post_80,Video,206,156,352,74976,24061,46,Other,Guatemala,Positive,2508,28.55
6/2/2023,Twitter,Post_40,Image,79,294,331,55876,40715,33,Female,Lao People's Democratic Republic,Positive,1831,34.68
8/17/2023,Twitter,Post_62,Video,584,294,429,70767,46608,23,Other,Jordan,Positive,3927,14.62
12/28/2023,Instagram,Post_14,Image,451,126,211,57361,174070,48,Male,Sudan,Positive,4829,20.23
4/4/2023,Twitter,Post_68,Image,949,102,452,59350,23048,47,Female,Nepal,Negative,3477,19.07
11/12/2023,Facebook,Post_13,Image,812,253,302,55753,32342,63,Male,Kazakhstan,Negative,2901,16.27
4/9/2023,Twitter,Post_79,Video,402,8,414,96153,12980,24,Female,Macao,Negative,2101,34.79
9/20/2023,Instagram,Post_19,Image,47,89,121,8893,40242,33,Male,United States Minor Outlying Islands,Neutral,3020,31.69
3/23/2023,Facebook,Post_8,Text,745,122,352,62575,22616,57,Female,Armenia,Neutral,2284,38.31
1/30/2023,Instagram,Post_39,Text,236,0,331,86760,43280,65,Female,Slovakia (Slovak Republic),Neutral,3443,10.02
2/12/2023,Twitter,Post_32,Image,166,251,258,55830,49378,56,Other,Oman,Negative,678,189.53
7/28/2023,Instagram,Post_6,Image,888,38,103,25937,191639,35,Other,China,Negative,1726,61.53
10/31/2023,Instagram,Post_55,Carousel,451,8,185,88411,100623,49,Other,Sierra Leone,Negative,668,198.5
6/14/2023,Twitter,Post_86,Text,392,67,80,70960,17791,32,Other,New Zealand,Positive,2192,20.03
9/4/2023,Instagram,Post_52,Carousel,134,47,125,78770,134169,57,Other,Latvia,Positive,3579,41.72
2/12/2023,Instagram,Post_84,Text,282,206,46,13972,97902,23,Other,Costa Rica,Negative,707,72.14
10/18/2023,Instagram,Post_49,Image,609,156,13,41388,122856,44,Male,Reunion,Positive,2125,58.73
7/3/2023,Twitter,Post_12,Carousel,851,33,293,78531,32341,53,Other,Bangladesh,Positive,1144,94.32
2/9/2023,Instagram,Post_92,Video,456,37,14,63919,70414,40,Male,Gabon,Negative,2797,28.03
7/23/2023,Facebook,Post_60,Image,285,106,312,50937,32393,47,Male,Pitcairn Islands,Neutral,501,214.37
7/18/2023,Facebook,Post_99,Text,495,292,107,3343,55529,27,Other,Mexico,Neutral,925,166.38
1/24/2023,Facebook,Post_32,Text,304,198,223,49546,97639,33,Other,Afghanistan,Neutral,3265,22.63
10/11/2023,Facebook,Post_26,Text,629,61,461,57686,71980,35,Female,Kiribati,Negative,4876,12.1
12/12/2023,Twitter,Post_36,Text,103,28,239,62842,13954,20,Female,Czech Republic,Negative,3004,25.2
7/7/2023,Facebook,Post_85,Image,413,41,421,16664,80131,35,Male,Cocos (Keeling) Islands,Negative,2309,37.98
11/8/2023,Instagram,Post_98,Carousel,920,37,348,55912,111761,57,Female,Gambia,Negative,1509,83.9
10/15/2023,Twitter,Post_84,Carousel,702,170,117,56550,9244,53,Male,Aruba,Neutral,1056,83.05
5/17/2023,Instagram,Post_17,Text,844,43,33,97865,30239,37,Male,Somalia,Positive,3937,38
6/7/2023,Facebook,Post_2,Video,190,94,78,56353,55245,64,Female,Liechtenstein,Neutral,3635,18.87
3/5/2023,Instagram,Post_75,Image,551,162,422,87730,43218,34,Female,Moldova,Neutral,3917,36.92
3/4/2023,Twitter,Post_18,Video,928,232,314,1095,32627,21,Male,Moldova,Neutral,4580,25.24
10/17/2023,Facebook,Post_81,Text,188,185,43,65611,25324,18,Male,Hong Kong,Neutral,4631,13.06
12/13/2023,Twitter,Post_77,Text,937,192,470,94506,26066,47,Other,Rwanda,Negative,3626,22.67
12/14/2023,Twitter,Post_49,Text,162,255,47,23353,13266,47,Male,United States Virgin Islands,Negative,4242,21.97
3/19/2023,Twitter,Post_1,Text,722,259,454,12535,44201,48,Other,Nicaragua,Positive,1378,49.13
9/24/2023,Facebook,Post_18,Video,166,175,357,22321,25214,40,Female,Malaysia,Neutral,798,147.74
8/21/2023,Twitter,Post_59,Text,607,242,390,27828,44849,64,Other,Saint Martin,Negative,3335,23.51
1/12/2023,Instagram,Post_67,Image,73,208,431,65026,70893,25,Female,Central African Republic,Neutral,1080,52.41
12/23/2023,Instagram,Post_32,Video,495,256,135,97551,34707,62,Female,Congo,Neutral,1213,68.67
7/29/2023,Instagram,Post_5,Video,584,54,207,13228,160173,20,Female,Bouvet Island (Bouvetoya),Positive,2401,56.6
10/19/2023,Instagram,Post_37,Text,964,296,148,71613,51315,52,Female,Brunei Darussalam,Neutral,2405,23.41
9/3/2023,Twitter,Post_50,Text,762,201,10,90468,32797,26,Other,Egypt,Neutral,2033,55.88
11/1/2023,Facebook,Post_77,Text,679,203,359,41369,92348,39,Female,Argentina,Negative,1150,56.17
5/10/2023,Twitter,Post_52,Video,279,200,395,22558,39329,44,Male,Norfolk Island,Negative,2409,42.38
8/12/2023,Twitter,Post_35,Image,299,190,370,95762,26256,31,Female,Korea,Negative,4835,17.15
3/26/2023,Twitter,Post_16,Carousel,26,204,269,48589,12837,59,Other,Iceland,Positive,1169,93.93
10/19/2023,Facebook,Post_97,Carousel,310,87,476,65041,13319,53,Male,Turkey,Positive,4464,18.44
7/8/2023,Facebook,Post_1,Carousel,261,124,234,37916,78580,34,Female,Sudan,Positive,4202,13.64
6/21/2023,Twitter,Post_3,Carousel,768,7,3,27630,16082,47,Other,French Guiana,Positive,1056,94.22
9/5/2023,Facebook,Post_80,Text,653,296,335,88395,89869,25,Female,Afghanistan,Positive,660,164.09
8/25/2023,Facebook,Post_1,Video,640,229,452,86167,29388,30,Male,Kazakhstan,Positive,2517,38.14
2/3/2023,Twitter,Post_36,Image,50,101,352,82112,23694,49,Other,Lebanon,Positive,1971,18.62
6/11/2023,Facebook,Post_9,Video,161,135,397,3301,75794,51,Other,El Salvador,Neutral,705,158.44
1/15/2023,Twitter,Post_72,Text,895,142,15,89456,48615,59,Male,Reunion,Negative,1125,100.98
2/15/2023,Facebook,Post_80,Carousel,354,1,391,63897,51861,62,Female,Chad,Positive,3141,37.15
6/1/2023,Twitter,Post_15,Video,912,29,54,75638,21126,23,Female,Cyprus,Positive,3944,12.35
2/3/2023,Twitter,Post_1,Video,747,147,270,10275,49194,25,Male,Finland,Neutral,1897,23.46
7/9/2023,Instagram,Post_56,Image,176,124,191,77152,178123,41,Other,Cote d'Ivoire,Negative,1268,93.45
10/4/2023,Instagram,Post_10,Image,991,218,450,42481,190561,41,Other,Brazil,Negative,2664,43.62
10/9/2023,Twitter,Post_68,Carousel,71,167,428,71368,29504,34,Female,United States Minor Outlying Islands,Negative,2404,17.05
6/17/2023,Facebook,Post_80,Image,771,141,190,11851,68611,23,Male,Antigua and Barbuda,Positive,2674,18.55
6/12/2023,Instagram,Post_72,Carousel,814,72,66,91023,104835,23,Male,Algeria,Positive,2795,39.75
2/16/2023,Twitter,Post_9,Image,847,173,30,55445,31304,33,Female,Cote d'Ivoire,Negative,3487,36.56
3/24/2023,Twitter,Post_35,Image,593,82,380,91671,49723,30,Female,Germany,Negative,1161,103.45
11/13/2023,Facebook,Post_18,Text,487,145,110,38096,55478,22,Female,Morocco,Negative,2356,53.65
7/16/2023,Facebook,Post_84,Image,391,22,434,46572,51259,21,Female,Uganda,Neutral,656,96.19
6/2/2023,Instagram,Post_61,Video,521,84,125,68896,83891,32,Male,Singapore,Neutral,4301,19.86
7/2/2023,Twitter,Post_44,Video,558,57,216,63845,41963,45,Other,Gibraltar,Positive,1615,37.28
1/27/2023,Twitter,Post_21,Carousel,709,166,73,41661,31868,33,Other,Kiribati,Positive,890,125.84
4/21/2023,Twitter,Post_21,Carousel,923,292,60,81112,46420,50,Male,Iran,Positive,3159,32.32
6/17/2023,Twitter,Post_99,Video,904,170,466,67619,49790,56,Male,Argentina,Positive,807,85.87
9/24/2023,Twitter,Post_44,Text,537,130,174,4160,9273,50,Male,Aruba,Positive,4703,22.58
11/5/2023,Facebook,Post_22,Image,12,101,24,63847,32469,55,Female,Paraguay,Positive,2912,35.44
8/24/2023,Instagram,Post_97,Carousel,441,69,308,49857,134813,56,Other,Saudi Arabia,Positive,1251,44.2
3/15/2023,Instagram,Post_15,Text,869,252,357,66565,68072,59,Male,Hungary,Positive,3404,17.45
11/14/2023,Twitter,Post_24,Text,318,142,317,60274,12042,31,Other,New Caledonia,Positive,2040,37.4
4/19/2023,Instagram,Post_10,Video,685,135,292,94334,37657,42,Male,Grenada,Negative,1012,72.53
1/13/2023,Twitter,Post_31,Carousel,77,174,270,4639,40352,62,Female,Slovakia (Slovak Republic),Neutral,784,120.41
10/26/2023,Twitter,Post_2,Carousel,356,33,66,35054,8857,37,Female,Bulgaria,Positive,1081,32.65
11/12/2023,Instagram,Post_61,Video,602,55,227,51930,154897,27,Female,Lao People's Democratic Republic,Positive,3107,42.42
4/13/2023,Twitter,Post_3,Image,903,150,126,87449,24786,38,Other,Estonia,Positive,4896,25.12
12/29/2023,Twitter,Post_44,Image,177,80,128,67389,30946,57,Male,Mauritius,Positive,2226,55.44
3/12/2023,Instagram,Post_92,Image,13,11,10,80690,106428,59,Female,Saint Helena,Positive,786,12.09
3/30/2023,Instagram,Post_53,Text,98,70,111,88304,91702,37,Female,Barbados,Negative,4778,12.7
5/10/2023,Facebook,Post_30,Video,259,130,468,49806,55245,44,Male,Haiti,Negative,3988,12.14
5/24/2023,Twitter,Post_3,Video,620,161,301,68395,49892,54,Female,Tonga,Positive,578,202.77
3/4/2023,Facebook,Post_6,Video,364,88,492,52801,65155,65,Other,Mauritania,Positive,980,48.98
2/9/2023,Twitter,Post_67,Image,219,87,441,73064,11341,42,Other,Mali,Positive,4951,22.18
6/24/2023,Twitter,Post_92,Video,397,172,489,86834,13883,19,Other,Jersey,Positive,1828,58.92
7/6/2023,Twitter,Post_61,Video,465,53,404,30245,13893,26,Other,Gibraltar,Positive,2601,12.69
9/26/2023,Twitter,Post_80,Image,304,138,456,2594,28374,28,Other,Solomon Islands,Neutral,1064,101.32
7/14/2023,Facebook,Post_53,Image,0,73,136,27526,95062,63,Male,Switzerland,Neutral,2049,16.35
8/20/2023,Twitter,Post_39,Video,626,87,10,9359,43331,43,Male,Venezuela,Neutral,2905,30.26
1/25/2023,Instagram,Post_87,Image,827,160,379,3492,90728,64,Male,Belize,Neutral,2806,17.21
9/21/2023,Instagram,Post_11,Text,222,119,188,66171,51315,20,Other,Wallis and Futuna,Negative,1586,69.36
2/23/2023,Twitter,Post_2,Carousel,23,201,90,32747,20485,42,Other,French Southern Territories,Neutral,3722,22.41
